Code,Disease_Name,System,Category,Synonyms,Description,Sanskrit_Term,ICD11_TM2,ICD11_Bio,Confidence_TM2,Confidence_Bio
NAM0001,Vata Dosha Imbalance,Ayurveda,Dosha Disorders,Vata Vikruti|Wind disorder|Nervous disorder,Neurological symptoms due to Vata imbalance causing tremors and anxiety,Vata Vyadhi,TM2.1A00,G89.2,0.95,0.75
NAM0002,Pitta Dosha Imbalance,Ayurveda,Dosha Disorders,Pitta Vikruti|Fire disorder|Heat disorder,Inflammatory conditions with burning sensation and hyperacidity,Pitta Vyadhi,TM2.1A01,K21.0,0.93,0.78
NAM0003,Kapha Dosha Imbalance,Ayurveda,Dosha Disorders,Kapha Vikruti|Water disorder|Phlegm disorder,Metabolic slowdown with excess mucus production,Kapha Vyadhi,TM2.1A02,E66.9,0.91,0.72
NAM0004,Prameha,Ayurveda,Metabolic,Madhumeha|Sweet urine disease|Diabetes,Urinary disorder with sweet urine resembling diabetes mellitus,Prameha,TM2.7,5A00,0.96,0.92
NAM0005,Raktapitta,Ayurveda,Blood Disorders,Bleeding disorder|Blood vitiation|Hemorrhage,Bleeding manifestations from various body orifices,Raktapitta,TM2.5A02,3A10,0.89,0.76
NAM0006,Amavata,Ayurveda,Musculoskeletal,Rheumatoid arthritis|Joint disorder|Ama disease,Autoimmune joint condition with morning stiffness,Amavata,TM2.8A01,FA20.0,0.94,0.88
NAM0007,Pandu Roga,Ayurveda,Blood Disorders,Anemia|Pallor|Pandurog,Iron deficiency causing pallor and weakness,Pandu,TM2.5A00,3A00.0,0.92,0.85
NAM0008,Jwara,Ayurveda,Infectious,Fever|Pyrexia|Santapa,Elevated body temperature due to infection or inflammation,Jwara,TM2.3A00,MG26,0.90,0.82
NAM0009,Kasa,Ayurveda,Respiratory,Cough|Tussis|Throat irritation,Respiratory tract irritation with coughing,Kasa,TM2.2A01,CA00,0.91,0.84
NAM0010,Shwasa,Ayurveda,Respiratory,Dyspnea|Breathlessness|Asthma,Breathing difficulty and wheezing,Shwasa,TM2.2A00,CA23.0,0.93,0.87
NAM0011,Arsha,Ayurveda,Digestive,Hemorrhoids|Piles|Anorectal disorder,Swollen veins in the anorectal region,Arsha,TM2.6A03,DB31,0.95,0.90
NAM0012,Atisara,Ayurveda,Digestive,Diarrhea|Loose stools|Pravahika,Frequent loose watery stools,Atisara,TM2.6A01,DD70,0.92,0.88
NAM0013,Grahani,Ayurveda,Digestive,Irritable bowel|Malabsorption|Sprue,Digestive disorder with alternating diarrhea and constipation,Grahani,TM2.6A02,DA90.2,0.88,0.79
